year,month,month_tx,value,disabilities,fatalities
2017,3,March,571,3,3
2017,4,April,494,6,0
2017,5,May,581,1,2
2017,6,June,562,3,3
2017,7,July,594,6,4
2017,8,August,639,11,2
2017,9,September,508,7,3
2017,10,October,592,6,3
2017,11,November,478,2,0
2017,12,December,428,6,2
